ID_RESTAURANTE,N_PLATO,T_PLATO,PRECIO
MB001PV,Jamón Ibérico,ENTRANTE,28.00
MB001PV,Oreja glaseada,ENTRANTE,16.50
MB001PV,Merluza a la plancha,PRINCIPAL,42.00
MB001PV,Sorbete de limón,POSTRE,9.50
MB001PV,Café de origen,BEBIDA,3.50
AZ002PV,Jamón Ibérico,ENTRANTE,26.00
AZ002PV,Rollo de txangurro,ENTRANTE,18.00
AZ002PV,Lubina al horno,PRINCIPAL,39.00
AZ002PV,Arroz de plancton,PRINCIPAL,36.00
AZ002PV,Helado de leche,POSTRE,8.00
AA003PV,Jamón Ibérico,ENTRANTE,30.00
AA003PV,Txangurro gratinado,ENTRANTE,20.00
AA003PV,Merluza Arzak,PRINCIPAL,45.00
AA003PV,Bizcocho mantequilla,POSTRE,9.00
AA003PV,Cava de la casa,BEBIDA,6.00
DR001MD,Taco creativo,ENTRANTE,18.00
DR001MD,Ceviche corvina,ENTRANTE,20.00
DR001MD,Degustación principal,PRINCIPAL,120.00
DR001MD,Coulant chocolate,POSTRE,10.00
DR001MD,Cóctel firma,BEBIDA,12.00
SV002MD,Ensalada de temporada,ENTRANTE,12.00
SV002MD,Tartar de atún,ENTRANTE,18.00
SV002MD,Entrecot a la parrilla,PRINCIPAL,24.00
SV002MD,Tarta de queso,POSTRE,7.50
SV002MD,Copa de vino,BEBIDA,5.00
RE003MD,Jamón Ibérico,ENTRANTE,25.00
RE003MD,Sopa de mariscos,ENTRANTE,14.00
RE003MD,Solomillo ternera,PRINCIPAL,35.00
RE003MD,Helado vainilla,POSTRE,6.50
RE003MD,Café expreso,BEBIDA,2.80
AP001AN,Jamón Ibérico,ENTRANTE,22.00
AP001AN,Arroz de marisco,PRINCIPAL,34.00
AP001AN,Mejillones escabeche,ENTRANTE,14.50
AP001AN,Lubina en su jugo,PRINCIPAL,38.00
AP001AN,Helado marino,POSTRE,9.00
AA002AN,Ensalada de naranja,ENTRANTE,9.00
AA002AN,Solomillo ibérico,PRINCIPAL,28.00
AA002AN,Bacalao confitado,PRINCIPAL,30.00
AA002AN,Milhojas chocolate,POSTRE,7.50
AA002AN,Copa de vino,BEBIDA,5.50
ES003AN,Ensalada verde,ENTRANTE,10.00
ES003AN,Pulpo a la gallega,PRINCIPAL,22.00
ES003AN,Salmón a la plancha,PRINCIPAL,24.00
ES003AN,Tarta de limón,POSTRE,6.50
ES003AN,Cerveza premium,BEBIDA,4.00
AB001CT,Jamón Ibérico,ENTRANTE,27.00
AB001CT,Tosta de foie,ENTRANTE,16.00
AB001CT,Arroz caldoso,PRINCIPAL,32.00
AB001CT,Panna cotta,POSTRE,8.50
AB001CT,Copa de cava,BEBIDA,6.50
CD002CT,Ensalada catalana,ENTRANTE,12.50
CD002CT,Ravioli setas,PRINCIPAL,22.00
CD002CT,Jarrete confitado,PRINCIPAL,28.00
CD002CT,Crema catalana,POSTRE,7.50
CD002CT,Vino por copa,BEBIDA,6.00
MN003CT,Ensalada de autor,ENTRANTE,14.00
MN003CT,Arroz negro,PRINCIPAL,30.00
MN003CT,Carrillera ibérica,PRINCIPAL,26.00
MN003CT,Mousse chocolate,POSTRE,8.00
MN003CT,Infusión,BEBIDA,3.00
CA001VC,Jamón Ibérico,ENTRANTE,24.00
CA001VC,Arròs melòs,PRINCIPAL,35.00
CA001VC,Bacalao al pilpil,PRINCIPAL,34.00
CA001VC,Tarta tatin,POSTRE,7.50
CA001VC,Copa de vino,BEBIDA,6.00
RQ002VC,Jamón Ibérico,ENTRANTE,24.00
RQ002VC,Sang amb ceba,PRINCIPAL,28.00
RQ002VC,Arroz meloso,PRINCIPAL,40.00
RQ002VC,Postre cítrico,POSTRE,9.50
RQ002VC,Vino de la casa,BEBIDA,7.00
LR003VC,Ensalada templada,ENTRANTE,11.50
LR003VC,Merluza al horno,PRINCIPAL,26.00
LR003VC,Magret pato,PRINCIPAL,29.00
LR003VC,Cheesecake,POSTRE,7.00
LR003VC,Copa cerveza,BEBIDA,3.50
LH001GA,Jamón Ibérico,ENTRANTE,20.00
LH001GA,Pulpo braseado,PRINCIPAL,26.00
LH001GA,Lubina salvaje,PRINCIPAL,33.00
LH001GA,Tarta queso,POSTRE,7.00
LH001GA,Copa Albariño,BEBIDA,4.50
CM002GA,Jamón Ibérico,ENTRANTE,18.00
CM002GA,Percebes plancha,PRINCIPAL,35.00
CM002GA,Pulpo a la gallega,PRINCIPAL,22.00
CM002GA,Tarta queso,POSTRE,7.50
CM002GA,Copa Albariño,BEBIDA,4.50
PA003GA,Entrante gallego,ENTRANTE,12.50
PA003GA,Merluza en salsa,PRINCIPAL,29.00
PA003GA,Arroz de mar,PRINCIPAL,31.00
PA003GA,Brownie,POSTRE,6.50
PA003GA,Vino Ribeiro,BEBIDA,5.00
CL001CL,Jamón Ibérico,ENTRANTE,16.50
CL001CL,Calamares fritos,ENTRANTE,12.00
CL001CL,Lechazo asado,PRINCIPAL,25.00
CL001CL,Flan casero,POSTRE,5.00
CL001CL,Refresco,BEBIDA,2.50
LV002CL,Ensalada rústica,ENTRANTE,9.00
LV002CL,Tosta de anchoa,ENTRANTE,10.00
LV002CL,Jarrete horno,PRINCIPAL,22.00
LV002CL,Tarta manzana,POSTRE,5.50
LV002CL,Copa vino,BEBIDA,3.50
VC003CL,Entrante casa,ENTRANTE,11.00
VC003CL,Merluza plancha,PRINCIPAL,24.00
VC003CL,Solomillo salsa,PRINCIPAL,27.00
VC003CL,Helado artesano,POSTRE,5.50
VC003CL,Cerveza local,BEBIDA,3.00
TC001CN,Jamón Ibérico,ENTRANTE,21.00
TC001CN,Ravioli mar,ENTRANTE,16.00
TC001CN,Lomo vaca,PRINCIPAL,28.00
TC001CN,Crema queso,POSTRE,6.50
TC001CN,Copa vino,BEBIDA,5.00
HP002CN,Ensalada canaria,ENTRANTE,10.50
HP002CN,Bacalao al mojo,PRINCIPAL,26.00
HP002CN,Pescado del día,PRINCIPAL,30.00
HP002CN,Dulce de leche,POSTRE,5.50
HP002CN,Cerveza artesana,BEBIDA,3.50
MB003CN,Jamón Ibérico,ENTRANTE,19.00
MB003CN,Tartar atún,ENTRANTE,15.00
MB003CN,Chuleta vaca,PRINCIPAL,36.00
MB003CN,Sorbete mar,POSTRE,8.00
MB003CN,Vino de la casa,BEBIDA,6.50
LC001CM,Entrante manchego,ENTRANTE,11.00
LC001CM,Carne de la mancha,PRINCIPAL,24.00
LC001CM,Guiso tradicional,PRINCIPAL,18.00
LC001CM,Postre tradicional,POSTRE,5.50
LC001CM,Copa de vino,BEBIDA,3.00
AM002CM,Ensalada de mercado,ENTRANTE,9.50
AM002CM,Arroz meloso,PRINCIPAL,20.00
AM002CM,Bacalao confitado,PRINCIPAL,22.00
AM002CM,Tarta queso,POSTRE,6.50
AM002CM,Cerveza,BEBIDA,2.80
AE003CM,Entrante de la casa,ENTRANTE,10.00
AE003CM,Solomillo manchego,PRINCIPAL,23.50
AE003CM,Pasta fresca,PRINCIPAL,15.00
AE003CM,Helado artesano,POSTRE,5.50
AE003CM,Refresco,BEBIDA,2.50
EO001AR,Jamón Ibérico,ENTRANTE,17.00
EO001AR,Taco aragonés,ENTRANTE,11.00
EO001AR,Trucha a la navarra,PRINCIPAL,20.00
EO001AR,Bizcocho,POSTRE,5.00
EO001AR,Copa vino,BEBIDA,3.50
TR002AR,Entrante creativa,ENTRANTE,13.00
TR002AR,Arroz verduras,PRINCIPAL,18.00
TR002AR,Secreto ibérico,PRINCIPAL,21.00
TR002AR,Postre del día,POSTRE,6.00
TR002AR,Cerveza,BEBIDA,2.50
QB003AR,Ensalada fresca,ENTRANTE,11.00
QB003AR,Merluza al vapor,PRINCIPAL,24.00
QB003AR,Solomillo ibérico,PRINCIPAL,29.00
QB003AR,Flan casero,POSTRE,5.00
QB003AR,Vino por copa,BEBIDA,4.50
MS001AS,Jamón Ibérico,ENTRANTE,20.00
MS001AS,Croqueta jamón,ENTRANTE,12.40
MS001AS,Merluza Cantábrico,PRINCIPAL,34.00
MS001AS,Arroz con leche,POSTRE,6.50
MS001AS,Cerveza local,BEBIDA,3.50
GL002AS,Ensalada de mar,ENTRANTE,11.00
GL002AS,Bocadillo gourmet,ENTRANTE,9.00
GL002AS,Asado tradicional,PRINCIPAL,22.00
GL002AS,Postre casero,POSTRE,5.50
GL002AS,Copa vino,BEBIDA,4.00
RA003AS,Entrante temporada,ENTRANTE,10.00
RA003AS,Pescado del dia,PRINCIPAL,24.00
RA003AS,Guiso local,PRINCIPAL,18.00
RA003AS,Tarta manzana,POSTRE,5.50
RA003AS,Cerveza,BEBIDA,2.80
JR001CB,Jamón Ibérico,ENTRANTE,18.00
JR001CB,Tosta anchoa,ENTRANTE,11.00
JR001CB,Rabo toro,PRINCIPAL,22.00
JR001CB,Crema catalana,POSTRE,6.50
JR001CB,Vino tinto,BEBIDA,5.50
AS002CB,Annua tasting,ENTRANTE,18.00
AS002CB,Arroz caldoso,PRINCIPAL,33.00
AS002CB,Lubina plancha,PRINCIPAL,36.00
AS002CB,Postre creativo,POSTRE,8.50
AS002CB,Copa vino,BEBIDA,7.00
BL003CB,Entrante casa,ENTRANTE,9.00
BL003CB,Bacalao dorado,PRINCIPAL,19.00
BL003CB,Postre casero,POSTRE,5.00
BL003CB,Refresco,BEBIDA,2.50
AS001NA,Jamón Ibérico,ENTRANTE,22.00
AS001NA,Alcachofa confitada,ENTRANTE,12.00
AS001NA,Merluza a la navarra,PRINCIPAL,30.00
AS001NA,Flan artesano,POSTRE,6.00
AS001NA,Copa verde,BEBIDA,4.00
BR002NA,Entrante navarro,ENTRANTE,11.00
BR002NA,Txuletón,PRINCIPAL,34.00
BR002NA,Tarta casera,POSTRE,5.50
BR002NA,Vino navarro,BEBIDA,6.00
TM003NA,Plato tradicional,PRINCIPAL,18.00
LR001RI,Ensalada riojana,ENTRANTE,9.50
LR001RI,Bacalao al ajoarriero,PRINCIPAL,22.00
LR001RI,Milhojas,POSTRE,6.50
LR001RI,Copa rioja,BEBIDA,4.50
NM002RI,Tosta creativa,ENTRANTE,10.00
NM002RI,Chuleta a la brasa,PRINCIPAL,27.00
NM002RI,Postre lacteo,POSTRE,5.50
NM002RI,Cerveza,BEBIDA,3.00
GN003RI,Entrante mercado,ENTRANTE,9.00
GN003RI,Arroz verduras,PRINCIPAL,18.00
GN003RI,Bacalao confitado,PRINCIPAL,21.00
GN003RI,Helado,POSTRE,5.50
GN003RI,Copa vino,BEBIDA,3.50
ER001MU,Jamón Ibérico,ENTRANTE,16.00
ER001MU,Ensalada muleña,ENTRANTE,9.50
ER001MU,Caldero murciano,PRINCIPAL,20.00
ER001MU,Postre tipico,POSTRE,5.50
ER001MU,Vino Murcia,BEBIDA,4.50
LM002MU,Entrante autor,ENTRANTE,11.00
LM002MU,Principal degustación,PRINCIPAL,28.00
LM002MU,Plato pescado,PRINCIPAL,26.00
LM002MU,Postre creat,POSTRE,7.50
LM002MU,Bebida local,BEBIDA,3.50
MK003MU,Arroz caldero,PRINCIPAL,24.00
MK003MU,Entrante mar,ENTRANTE,13.50
MK003MU,Solomillo,PRINCIPAL,29.00
MK003MU,Postre chocolate,POSTRE,6.50
MK003MU,Vino local,BEBIDA,4.00
PB001EX,Jamón Ibérico,ENTRANTE,20.00
PB001EX,Tartar atún,ENTRANTE,18.00
PB001EX,Arroz trufa,PRINCIPAL,34.00
PB001EX,Helado queso,POSTRE,8.00
PB001EX,Copa vino,BEBIDA,6.50
SB002EX,Ensalada creativa,ENTRANTE,11.00
SB002EX,Secreto ibérico,PRINCIPAL,22.00
SB002EX,Plato fusión,PRINCIPAL,19.00
SB002EX,Postre del chef,POSTRE,6.50
SB002EX,Cerveza,BEBIDA,3.00
TR003EX,Entrante fusión,ENTRANTE,9.50
TR003EX,Plato principal,PRINCIPAL,18.00
TR003EX,Postre casero,POSTRE,5.50
TR003EX,Bebida refresco,BEBIDA,2.50
VA001IB,Jamón Ibérico,ENTRANTE,25.00
VA001IB,Arroz marinero,PRINCIPAL,32.00
VA001IB,Lubina playa,PRINCIPAL,34.00
VA001IB,Postre ibicenco,POSTRE,7.50
VA001IB,Vino mallorca,BEBIDA,5.00
MM002IB,Entrante mallorquín,ENTRANTE,11.00
MM002IB,Caldereta pescado,PRINCIPAL,29.00
MM002IB,Lechona asada,PRINCIPAL,24.00
MM002IB,Helado local,POSTRE,6.00
MM002IB,Bebida,BEBIDA,3.50
JO003IB,Entrante contemporáneo,ENTRANTE,12.00
JO003IB,Ravioli mar,PRINCIPAL,18.50
JO003IB,Solomillo,PRINCIPAL,26.00
JO003IB,Cheesecake,POSTRE,7.00
JO003IB,Copa vino,BEBIDA,5.50
GK001MD,Hamburguesa Pigma,PRINCIPAL,12.90
GK001MD,Patatas rústicas,ENTRANTE,4.50
GK001MD,Chicken tenders,ENTRANTE,7.90
GK001MD,Postre pistacho,POSTRE,5.50
GK001MD,Refresco,BEBIDA,2.50
VK002MD,VIPS ensalada,ENTRANTE,9.00
VK002MD,VIPS burger,PRINCIPAL,11.50
VK002MD,Ensalada cesar,ENTRANTE,8.50
VK002MD,Tarta queso,POSTRE,6.00
VK002MD,Café,BEBIDA,2.50
CM001MD,Montadito jamón,ENTRANTE,1.50
CM001MD,Montadito queso,ENTRANTE,1.30
CM001MD,Montadito chistorra,ENTRANTE,1.30
CM001MD,Rueda 5 montaditos,ENTRANTE,7.50
CM001MD,Cerveza,BEBIDA,1.80
BK001CT,Whopper,PRINCIPAL,6.50
BK001CT,Onion rings,ENTRANTE,3.50
BK001CT,Nuggets,ENTRANTE,4.00
BK001CT,Postre helado,POSTRE,2.50
BK001CT,Refresco,BEBIDA,1.90
TT001VC,Tagliatella carbonara,PRINCIPAL,12.50
TT001VC,Bruschetta,ENTRANTE,6.50
TT001VC,Lasaña,PRINCIPAL,11.50
TT001VC,Tiramisú,POSTRE,5.50
TT001VC,Vino italiano,BEBIDA,4.50
TP001MD,Telepizza margarita,PRINCIPAL,7.50
TP001MD,Telepizza pepperoni,PRINCIPAL,9.00
TP001MD,Alitas bbq,ENTRANTE,6.50
TP001MD,Postre helado,POSTRE,3.00
TP001MD,Bebida lata,BEBIDA,1.80
GN001AN,Ginos pizza quattro,PRINCIPAL,11.00
GN001AN,Ensalada caprese,ENTRANTE,7.50
GN001AN,Spaghetti al pesto,PRINCIPAL,10.50
GN001AN,Tiramisu,POSTRE,5.50
GN001AN,Copa de vino,BEBIDA,4.50
FM001AS,Costillas amer.,PRINCIPAL,13.50
FM001AS,Hamburguesa clásica,PRINCIPAL,11.00
FM001AS,Nachos,ENTRANTE,6.50
FM001AS,Postre brownie,POSTRE,5.00
FM001AS,Cerveza,BEBIDA,3.00
